event,date,division,rank,name,country,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),1,TASHKENBAY SANZHAR,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),1,SABYRKHAN MAKHMUD,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),1,SACHIN,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),1,ALLIEV ELVIN,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),1,SABYRKHAN TOREKHAN,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),1,AKASH,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),1,ILLIUSHKA PAVLO,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),1,ORALBAY NURBEK,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),1,REYES PLA EMMANUEL,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),1,ORALBAY AIBEK,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),1,RANI MANJU,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),1,NITU,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),1,POONAM,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),2,MAGHRAOUI FRYHAH ISMAEL,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),2,TROWBRIDGE ELLIS,ENG,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),2,AL AHMADIEH KEOMA-ALI,CAN,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),2,OUNAI MOHAMED,FRA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),2,DEEPAK,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),2,KONSEBEKOV AMAN,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),2,ANKUSH,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),2,PANAH ARYAN SAEED,NEU,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),2,TOGAMBAY SAGYNDYK,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),2,ASSYLKHAN NURASSYL,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),2,LOPEZ DEL ARBOL MARTA,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),2,GUTIERREZ SALMERON NOELIA,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),2,PREETI,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),3,DIAZ LOPEZ CARLOS,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),3,ONGAROV NURZAT,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),3,MANDENGBAM AJUMDANI SINGH,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),3,TOMINES MAXIMUS,CAN,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),3,DRYDEN JACK,ENG,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),3,MOHAMED HUSSAM UDDIN,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),3,IBARRECHE CONDE OIER,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),3,PIDINRUCH KHUNATIP,THA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),3,HITESH,IND,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),3,MURSAL NURBEK,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),3,NURSEITOV TIMUR,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),3,ZAKHARIEV YURII,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),3,COY BERNAL PABLO,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),3,BEKTAS AZAMAT,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),3,FRESNEDA RICARDO ADRIAN,ESP,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),3,LAKTIONOV MYKOLA,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),3,OKOH ISSAC,ENG,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),3,MICHKOVSKYI PAVLO,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),3,KHALETSKYI ANDRII,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),3,LOVCHYNSKYI DMYTRO,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),3,LYNIV SOLOMIIA,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),3,TURGANOVA YELYAUR,KAZ,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),3,RAKSAT CHUTHAMAT,THA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),3,POKUSAI TAISSIA,UKR,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),3,SMITH IVY-JANE,ENG,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),3,HAMDI AYA,FRA,SA. 7 FEB. 2026,As of SA. 7 FEB. 2026,30
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57kg),1,RUENROS PUNRAWEE,THA,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 60 Kg (EW-60kg),1,PRIYA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 65 Kg (EW-65kg),1,ALLEN KAYLA,ENG,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 70 Kg (EW-70kg),1,CHOUDHARY ARUNDHATI,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 75 Kg (EW-75kg),1,BORGOHAIN LOVLINA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 80 Kg (EW-80kg),1,NAINA,IND,SÁ. 7 FEB. 2026,As of SÁ. 7 FEB. 2026,31
