event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 54 Kg (EW-54kg),,1,ALIASAKAR SYMBAT,KAZ,PREETI,IND,PREETI,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 57 Kg (EW-57kg),,2,ISSAYEVA SHAKHNAZ,KAZ,WEERHEIM GABRIELLA,NED,WEERHEIM GABRIELLA,WP 4:1,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 57 Kg (EW-57kg),,3,MORELL RAMIREZ VANESA,ESP,PRACHI,IND,PRACHI,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 60 Kg (EW-60kg),,4,PRIYA,IND,MANSUETTO ALESSIA,CAN,PRIYA,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 60 Kg (EW-60kg),,5,YERMEK AYAZHAN,KAZ,van der TOORN MAUD,NED,van der TOORN MAUD,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 65 Kg (EW-65kg),,6,SHEVCHENKO MARYNA,UKR,JILKOVA VIKTORIE,CZE,JILKOVA VIKTORIE,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Women - 65 Kg (EW-65kg),,7,JENNI ANNA,SUI,SERIK NAZERKE,KAZ,SERIK NAZERKE,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 60 Kg (EM-60kg),,8,AL CHABTUN MAHMOUD,NED,AL AHMADEH KEOMA-ALI,CAN,AL AHMADEH KEOMA-ALI,WP 5:0,MA. 3 FEB. 2026,title,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 60 Kg (EM-60kg),,9,MOHAMMED HUSSAM UDDIN,IND,BÜYÜKDEMIR MATIAS MEHMET,DEN,MOHAMMED HUSSAM UDDIN,WP 4:1,MA. 3 FEB. 2026,title,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 60 Kg (EM-60kg),,10,DAHLY ALI,UKR,RUAMTHAM SAKDA,THA,DAHLY ALI,WP 5:0,MA. 3 FEB. 2026,title,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 65 Kg (EM-65kg),,11,MONTEIRO MARCIO,CPV,PIDNUCH KHUNATIP,THA,PIDNUCH KHUNATIP,WP 5:0,MA. 3 FEB. 2026,title,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 65 Kg (EM-65kg),,12,GULIYEV RASUL,UKR,OUNAI MOHAMED,FRA,OUNAI MOHAMED,WP 4:1,MA. 3 FEB. 2026,title,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 65 Kg (EM-65kg),,13,TURNER JOE,ENG,YADAV ADITYA PRATAP,IND,TURNER JOE,WP 4:1,MA. 3 FEB. 2026,title,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-03,Elite Men - 65 Kg (EM-65kg),,14,JAMWAL ABHINASH,IND,OSMAN QALID,DEN,JAMWAL ABHINASH,WP 5:0,MA. 3 FEB. 2026,title,4
