event,date,division,rank,name,country,date_raw,date_source,page
Medallists by Weight Category,2026-08-01,Men's 55kg,1,DIXON Jye,AUS,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 60kg,1,SACHIN Sachin,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 65kg,1,MUGHALZAI Patris,ENG,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 70kg,1,McCONNELL Jon,NIR,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 80kg,1,ANKUSH Ankush,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 90kg,1,OKOH Isaac,ENG,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 90+kg,1,THOMAS Damar,ENG,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 51kg,1,SAKSHI Sakshi,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 54kg,1,PREETI Preeti,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 57kg,1,JASIMINE Jasimine,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 60kg,1,PRIYA Priya,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 65kg,1,HICKEY Sacha,ENG,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 70kg,1,CHOUDHARY Arundhati,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Women's 75kg,1,GREENTREE Emma-Sue,AUS,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 55kg,2,MANDENGBAM Jadumani Singh,IND,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 60kg,2,NDEVELO Tgayain Morning,NAM,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 65kg,2,CASSAR Jacob,AUS,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 70kg,2,HOLLEY-SOTOMI Orlando,WAL,SAT 1 AUG 2026 at 19:24,As of line,43
Medallists by Weight Category,2026-08-01,Men's 80kg,2,SHITTU Dimeji,ENG,SAT 1 AUG 2026 at 19:24,As of line,43
