event,division,page_type,rank,name,country,previous_rank,points_total,page
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,1,Minakshi MINAKSHI,IND,1,2225.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,2,Nazym KYZAIBAY,KAZ,2,1262.5,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,3,Sabina BOBOKULOVA,UZB,3,600.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,4,Enkh-Amgalan NOMUNDARI,MGL,4,500.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,5,Hiraku SHINOHARA,JPN,5,468.75,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,6,Altansetseg LUTSAIKHAN,MGL,6,450.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,7,Fozilova FARZONA,UZB,8,400.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,8,Hanna OKHOTA,UKR,7,337.5,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,9,Giovanna MARCHESE,ITA,8,300.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,9,Sattibayeva ALGERIM,KAZ,8,300.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,9,Yodwaree THIPSATCHA,THA,8,300.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,12,Alice PUMPHREY,ENG,12,225.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,13,Milagros Tatiana FLORES,ARG,13,187.5,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,14,Fatima HERRERA,MEX,18,175.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,15,Jyoti JYOTI,IND,x,150.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,15,Anh Pham THI QUYNH,VIE,14,150.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,15,Wangmo CHIMMI,BHU,14,150.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,15,Yuka SADAMATSU,JPN,14,150.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,19,Bak CHORONG,KOR,17,112.5,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,20,Angelika KRYSZTOFORSKA,POL,x,75.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,20,MARTA LÓPEZ DEL ÁRBOL,ESP,19,75.0,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,22,Radija GAMA,BRA,20,71.25,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,23,Yi-xuan GUO,TPE,21,56.25,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,23,Nurselen YALGETTEKIN,TUR,21,56.25,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,25,Nicole DURIKOVA,SVK,23,22.5,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,26,Ahadi LUKUNGU,NOR,24,11.25,2
WORLD BOXING,WOMEN'S 48KG RANKINGS,ranking_table,26,Alexa GOMEZ,MEX,24,11.25,2
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,1,Wu YU,CHN,1,1950.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,2,Buse CAKIROGLU,TUR,2,1400.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,3,Alua BALKIBEKOVA,KAZ,3,1275.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,4,Zareen NIKHAT,IND,4,750.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,5,Yi-Xuan GUO,TPE,5,675.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,6,Xinyu QI,CHN,6,600.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,7,Byol An KUM,PRK,7,500.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,8,Feruza KAZAKOVA,UZB,8,450.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,9,Pihla KAIVO-OJA,FIN,9,425.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,10,Mungunsaran BALSAN,MGL,10,375.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,11,Wassila LKHADIRI,FRA,11,306.25,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,12,Laura FUERTES FERNANDEZ,ESP,13,300.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,13,Gulsevar GANIEVA,UZB,12,262.5,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,14,Romane MOULAI,FRA,18,175.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,15,Chorong BAK,KOR,14,150.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,15,Xian BAGUIHN,PHI,14,150.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhaziya URAKBAYEVA,KAZ,16,112.5,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,17,Zhansaya RAKHYMBERDI,KAZ,16,112.5,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,19,Minakshi MINAKSHI,IND,x,100.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,19,Guanxia XIONG,CHN,18,100.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,21,Noelle HARO,USA,20,75.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,21,Yu-Shan LIU,TPE,20,75.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,21,Lalita CHAINARONG,THA,20,75.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,21,Rinka KINOSHITA,JPN,20,75.0,3
WORLD BOXING,WOMEN'S 51KG RANKINGS,ranking_table,21,Lucia AYARI,ITA,20,75.0,3
