event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,date_source,_page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,1,TESTA IRMA,TESTA IRMA,ITA,Gold,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,2,IBRAGIMOVA KARINA,IBRAGIMOVA KARINA,KAZ,Silver,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,3,ZIDANI AMINA,ZIDANI AMINA,FRA,Bronze,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,3,STANEVA SVETLANA_KAMENOVA,STANEVA SVETLANA_KAMENOVA,BUL,Bronze,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,5,ROMEU JUCIELEN,ROMEU JUCIELEN,BRA,,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,5,ALCALA OMARILYN,ALCALA OMARILYN,VEN,,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,draw_sheet,5,MANISHA MANISHA,MANISHA MANISHA,IND,,,,2023-03-26,footer,1
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,1,FERREIRA BEATRIZ_IASMIM,FERREIRA BEATRIZ_IASMIM,BRA,Gold,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,2,VALDEZ_PANA ANGIE_PAOLA,VALDEZ_PANA ANGIE_PAOLA,COL,Silver,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,3,OH YEONJI,OH YEONJI,KOR,Bronze,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,3,YANG WENLU,YANG WENLU,CHN,Bronze,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,5,TAGUCHI AYAKA,TAGUCHI AYAKA,JPN,,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,5,JAISMIN JASMINE,JAISMIN JASMINE,IND,,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,5,HADJILA KHELIF,HADJILA KHELIF,ALG,,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,draw_sheet,5,VOLOSSENKO RIMMA,VOLOSSENKO RIMMA,KAZ,,,,2023-03-26,footer,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,1,YANG CHENGYU,YANG CHENGYU,CHN,Gold,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,2,SYCHUGOVA NATALIYA,SYCHUGOVA NATALIYA,RUS,Silver,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,3,CAMILO_BRAVO CAMILA GABRIELA,CAMILO_BRAVO CAMILA_GABRIELA,COL,Bronze,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,3,BENMESSAEH FATIHA,BENMESSAEH FATIHA,FRA,Bronze,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,5,KITO MAI,KITO MAI,JPN,,,,25.03,title,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,draw_sheet,5,ABDULLAEVA KHADICHABONU,ABDULLAEVA KHADICHABONU,UZB,,,,25.03,title,3
