event,date,division,page_type,rank,name,name_short,noc,medal,previous_rank,points_total,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),draw_sheet,1,ILLIUSHA PAVLO,ILLIUSHA PAVLO,UKR,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),draw_sheet,1,ORALBAY NURBEK,ORALBAY NURBEK,KAZ,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),draw_sheet,1,REYES PLA EMANNUEL,REYES PLA EMANNUEL,ESP,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),draw_sheet,1,ASSYLKHAN NURASSYL,ASSYLKHAN NURASSYL,KAZ,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),draw_sheet,2,ANKUSH,ANKUSH,IND,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),draw_sheet,2,PANAH ARYAN SAED,PANAH ARYAN SAED,NEU,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),draw_sheet,2,TOGAMABAY SAGYNDYK,TOGAMABAY SAGYNDYK,KAZ,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),draw_sheet,2,ORALBAY AIBEK,ORALBAY AIBEK,KAZ,,,,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),draw_sheet,1,TASHKENBAY SANZHAR,TASHKENBAY SANZHAR,KAZ,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),draw_sheet,1,SABYRKHAN MAKHMUD,SABYRKHAN MAKHMUD,KAZ,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),draw_sheet,1,SACHIN,SACHIN,IND,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),draw_sheet,1,ALLIEV ELVIN,ALLIEV ELVIN,UKR,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),draw_sheet,1,SABYRKHAN TOREKHAN,SABYRKHAN TOREKHAN,KAZ,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),draw_sheet,1,AKASH,AKASH,IND,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),draw_sheet,1,ILLIUSHIA PAVLO,ILLIUSHIA PAVLO,UKR,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),draw_sheet,1,ORALBAY NURBEK,ORALBAY NURBEK,KAZ,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),draw_sheet,1,REYES PLA EMMANUEL,REYES PLA EMMANUEL,ESP,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),draw_sheet,1,ORALBAY AIBEK,ORALBAY AIBEK,KAZ,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),draw_sheet,1,RANI MANJU,RANI MANJU,IND,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),draw_sheet,1,NITU,NITU,IND,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),draw_sheet,1,POONAM,POONAM,IND,Gold,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),draw_sheet,2,MAGHRAOUI FRYHAH ISMAEL,MAGHRAOUI FRYHAH ISMAEL,ESP,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),draw_sheet,2,TROWBRIDGE ELLIS,TROWBRIDGE ELLIS,ENG,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),draw_sheet,2,AL AHMADIEH KEOMA-ALI,AL AHMADIEH KEOMA-ALI,CAN,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),draw_sheet,2,OUNAI MOHAMED,OUNAI MOHAMED,FRA,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),draw_sheet,2,DEEPAK,DEEPAK,IND,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),draw_sheet,2,KONSEBKOV AMAN,KONSEBKOV AMAN,KAZ,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80kg),draw_sheet,2,ANKUSH,ANKUSH,IND,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),draw_sheet,2,PANAH ARYAN SAEED,PANAH ARYAN SAEED,NEU,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),draw_sheet,2,TOGAMBAEV SAGYNDYK,TOGAMBAEV SAGYNDYK,KAZ,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),draw_sheet,2,ASSYLKHAN NURASSYL,ASSYLKHAN NURASSYL,KAZ,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48kg),draw_sheet,2,LOPEZ DEL ARBOL MARTA,LOPEZ DEL ARBOL MARTA,ESP,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51kg),draw_sheet,2,GUTIERREZ SALMERON NOELIA,GUTIERREZ SALMERON NOELIA,ESP,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54kg),draw_sheet,2,PREETI,PREETI,IND,Silver,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),draw_sheet,3,DIAZ LOPEZ CARLOS,DIAZ LOPEZ CARLOS,ESP,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 50 Kg (EM-50kg),draw_sheet,3,ONGAROV NURZAT,ONGAROV NURZAT,KAZ,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),draw_sheet,3,MANDENGBAM AJUMDANI SINGH,MANDENGBAM AJUMDANI SINGH,IND,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55kg),draw_sheet,3,TOMINES MAXIMUS,TOMINES MAXIMUS,CAN,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),draw_sheet,3,DRYDEN JACK,DRYDEN JACK,ENG,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60kg),draw_sheet,3,MOHAMED HUSSAM UDDIN,MOHAMED HUSSAM UDDIN,IND,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),draw_sheet,3,IBARRECHE CONDE OIER,IBARRECHE CONDE OIER,ESP,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 65 Kg (EM-65kg),draw_sheet,3,PIDINRUCH KHUNATIP,PIDINRUCH KHUNATIP,THA,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),draw_sheet,3,HITESH,HITESH,IND,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 70 Kg (EM-70kg),draw_sheet,3,MURSAL NURBEK,MURSAL NURBEK,KAZ,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 75 Kg (EM-75kg),draw_sheet,3,NURSEITOV TIMUR,NURSEITOV TIMUR,KAZ,Bronze,,,SÁ. 7 FEB. 2026,As of line,2
