event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 kg (EM-80kg),,191,ILLIUSHA PAVLO,UKR,ANKUSH,IND,ILLIUSHA PAVLO,WP 5:0,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 85 Kg (EM-85kg),,192,ORALBAY NURBEK,KAZ,PANAH ARYAN SAED,NEU,ORALBAY NURBEK,WP 5:0,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 90 Kg (EM-90kg),,193,REYES PLA EMANUEL,ESP,TOGAMABAY SAGYNDYK,KAZ,REYES PLA EMANUEL,WP 3:2,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men + 90 Kg (EM+90kg),,194,ASSYLKHAN NURASSYL,KAZ,ORALBAY AIBEK,KAZ,ORALBAY AIBEK,WP 5:0,SÁ. 7 FEB. 2026,title,1
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Quarterfinals,,LYNIV SOLOMIIA,UKR,,,LYNIV SOLOMIIA,Bye,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Quarterfinals,,D'ALMEIDA GLORIA,FRA,RANI MANJU,IND,RANI MANJU,RSC R1,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Quarterfinals,,TURGANOVA YELYANUR,KAZ,,,TURGANOVA YELYANUR,Bye,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Quarterfinals,,LOPEZ DEL ARBOL MARTA,ESP,,,LOPEZ DEL ARBOL MARTA,Bye,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Semifinals,,LYNIV SOLOMIIA,UKR,RANI MANJU,IND,RANI MANJU,WP 5:0,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Semifinals,,TURGANOVA YELYANUR,KAZ,LOPEZ DEL ARBOL MARTA,ESP,LOPEZ DEL ARBOL MARTA,WP 5:0,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),Final,,RANI MANJU,IND,LOPEZ DEL ARBOL MARTA,ESP,RANI MANJU,WP 5:0,SÁ. 7 FEB. 2026,As of line,3
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,MARYNCHUK YAROSLAVA,UKR,WRIGHT MCKENZIE,CAN,WRIGHT MCKENZIE,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,BARCELÓ CALDERÓN LAURA,ESP,NITU,IND,NITU,RSC R1,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,ALCANIZ APARICI CLAUDIA,ESP,KUSUM,IND,KUSUM,WP 4:1,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,GUO YI-XUAN,TPE,RAKSAT CHUTHAMAT,THA,RAKSAT CHUTHAMAT,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,GUTIERREZ SALMERON NOELIA,ESP,ABDUMEZHITOVA RAKHMINA,KAZ,GUTIERREZ SALMERON NOELIA,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,OSTROVSKA TETIANA,UKR,BOUREGA MAYSSOUN,FRA,BOUREGA MAYSSOUN,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,MOPIN KAELYA,FRA,POKUSAI TAISSIA,UKR,POKUSAI TAISSIA,WP 3:2,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Preliminaries,,OULKADI EL IDRISSI SARA,ESP,CHIU CHING-YU,TPE,CHIU CHING-YU,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Quarterfinals,,WRIGHT MCKENZIE,CAN,NITU,IND,NITU,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Quarterfinals,,KUSUM,IND,RAKSAT CHUTHAMAT,THA,RAKSAT CHUTHAMAT,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Quarterfinals,,GUTIERREZ SALMERON NOELIA,ESP,BOUREGA MAYSSOUN,FRA,GUTIERREZ SALMERON NOELIA,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Quarterfinals,,POKUSAI TAISSIA,UKR,CHIU CHING-YU,TPE,POKUSAI TAISSIA,WP 4:1,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Semifinals,,NITU,IND,RAKSAT CHUTHAMAT,THA,NITU,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Semifinals,,GUTIERREZ SALMERON NOELIA,ESP,POKUSAI TAISSIA,UKR,GUTIERREZ SALMERON NOELIA,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),Final,,NITU,IND,GUTIERREZ SALMERON NOELIA,ESP,NITU,WP 5:0,SÁ. 7 FEB. 2026,As of line,4
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Quarterfinals,,GONZALEZ CACERES MARIA,ESP,PREETI,IND,PREETI,WP 5:0,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Quarterfinals,,SHKEUL VICTORIIA,UKR,HAMDI AYA,FRA,HAMDI AYA,WP 4:1,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Quarterfinals,,SMITH IVY-JANE,ENG,CHONGPRONGKLANG NATNICHA,THA,SMITH IVY-JANE,WP 5:0,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Quarterfinals,,DELGADO MEDEIROS MIREN,ESP,POONAM,IND,POONAM,WP 5:0,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Semifinals,,PREETI,IND,HAMDI AYA,FRA,PREETI,ABD,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Semifinals,,SMITH IVY-JANE,ENG,POONAM,IND,POONAM,WP 4:1,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 54 Kg (EW-54 kg),Final,,PREETI,IND,POONAM,IND,POONAM,WP 4:1,SÁ. 7 FEB. 2026,As of line,5
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,CARDENAS FERNANDEZ ANDREA,ESP,,,CARDENAS FERNANDEZ ANDREA,Bye,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,ISSAYEVA SHAKHNAZ,KAZ,WEERHEIM GABRIELLA,NED,WEERHEIM GABRIELLA,WP 4:1,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,MORELL RAMIREZ VANESA,ESP,PRACHI,IND,PRACHI,WP 5:0,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,PARSONS VIVIEN,ENG,,,PARSONS VIVIEN,Bye,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,VINKA,IND,,,VINKA,Bye,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,RUENROS PUNRAWEE,THA,TERESI MALOÉ,FRA,RUENROS PUNRAWEE,WP 5:0,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,AL AHMADIEH MARIE,CAN,BURGOS UCEDA DANIELA,ESP,AL AHMADIEH MARIE,WP 4:1,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Quarterfinals,,HUTARINA DARIA-OLHA,UKR,,,HUTARINA DARIA-OLHA,Bye,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Semifinals,,CARDENAS FERNANDEZ ANDREA,ESP,WEERHEIM GABRIELLA,NED,WEERHEIM GABRIELLA,WP 4:1,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Semifinals,,PRACHI,IND,PARSONS VIVIEN,ENG,PARSONS VIVIEN,WP 3:0,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Semifinals,,VINKA,IND,RUENROS PUNRAWEE,THA,RUENROS PUNRAWEE,WP 5:0,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Semifinals,,AL AHMADIEH MARIE,CAN,HUTARINA DARIA-OLHA,UKR,AL AHMADIEH MARIE,WP 4:1,SÁ. 7 FEB. 2026,As of line,6
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 57 Kg (EW-57 kg),Final,,WEERHEIM GABRIELLA,NED,RUENROS PUNRAWEE,THA,RUENROS PUNRAWEE,WP 5:0,SÁ. 7 FEB. 2026,As of line,6
