event,date,division,page_type,rank,name,name_short,noc,medal,previous_rank,points_total,date_raw,date_source,page
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,1,Jalilov Asilbek,Jalilov Asilbek,UZB,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,1,Olimov Samandar,Olimov Samandar,UZB,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,1,Sachin Sachin,Sachin Sachin,IND,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,1,NISHIYAMA SHION,NISHIYAMA SHION,JPN,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,1,Hitesh Hitesh,Hitesh Hitesh,IND,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,1,Abdurakhimov Javokhir,Abdurakhimov Javokhir,UZB,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,1,Shittu Oladimeji,Shittu Oladimeji,ENG,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,1,Aibaruly Sultanbek,Aibaruly Sultanbek,KAZ,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,1,Okoh Isaac,Okoh Isaac,ENG,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,1,Mamasoliev Khalimjon,Mamasoliev Khalimjon,UZB,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 48Kg,ranking_table,1,MINAKSHI MINAKSHI,MINAKSHI MINAKSHI,IND,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 51Kg,ranking_table,1,Nikhat Zareen,Nikhat Zareen,IND,Gold,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,2,Mandengbam Jadumani Singh,Mandengbam Jadumani Singh,IND,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,2,Bartwal Pawan,Bartwal Pawan,IND,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,2,Seitbek uulu Munarbek,Seitbek uulu Munarbek,KGZ,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,2,Jammal Abhinash,Jammal Abhinash,IND,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,2,Mursal Nurbek,Mursal Nurbek,KAZ,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,2,Jarlinski Michal,Jarlinski Michal,POL,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,2,Ankush Ankush,Ankush Ankush,IND,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,2,Yuldoshev Jasurbek,Yuldoshev Jasurbek,UZB,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,2,Tokhirov Nusratbek,Tokhirov Nusratbek,UZB,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,2,Narender Narender,Narender Narender,IND,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 48Kg,ranking_table,2,Fozilova Farzona,Fozilova Farzona,UZB,Silver,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,3,OMER IZAZ,OMER IZAZ,AUS,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 50Kg,ranking_table,3,MAKINO SOUSHI,MAKINO SOUSHI,JPN,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,3,Trowbridge Ellis,Trowbridge Ellis,ENG,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 55Kg,ranking_table,3,YAMAGUCHI RUI,YAMAGUCHI RUI,JPN,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,3,Abdumurodov Dilshod,Abdumurodov Dilshod,UZB,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 60Kg,ranking_table,3,Hewitt William,Hewitt William,ENG,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,3,ALIEV Elvin,ALIEV Elvin,UKR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 65Kg,ranking_table,3,Mukhiddinov Adkhamjon,Mukhiddinov Adkhamjon,UZB,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,3,ZAKHARIEIEV Yurii,ZAKHARIEIEV Yurii,UKR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 70Kg,ranking_table,3,Ismoilov Mukhammadazizbek,Ismoilov Mukhammadazizbek,UZB,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,3,Sumit Sumit,Sumit Sumit,IND,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 75Kg,ranking_table,3,ILLUSHIA Pavlo,ILLUSHIA Pavlo,UKR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,3,MARLON SEVEHON,MARLON SEVEHON,AUS,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 80Kg,ranking_table,3,Begaliyev Sanzhar-Ali,Begaliyev Sanzhar-Ali,KAZ,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,3,Kim Daehoon,Kim Daehoon,KOR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 85Kg,ranking_table,3,Jugnoo Jugnoo,Jugnoo Jugnoo,JE,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,3,Kumar Naveen,Kumar Naveen,IND,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90Kg,ranking_table,3,Tuta Adam Jakub,Tuta Adam Jakub,POL,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,3,Saparbay Daniyal,Saparbay Daniyal,KAZ,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Men's Elite 90+Kg,ranking_table,3,Ju Taeung,Ju Taeung,KOR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 48Kg,ranking_table,3,OKHOTA Hanna,OKHOTA Hanna,UKR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 48Kg,ranking_table,3,Bak Chorong,Bak Chorong,KOR,Bronze,,,Thu 20 Nov 2025,As of line,3
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 54Kg,draw_sheet,1,Preeti Preeti,Preeti Preeti,IND,Gold,,,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 57Kg,draw_sheet,1,Jaismine Jaismine,Jaismine Jaismine,IND,Gold,,,Thu 20 Nov 2025,As of line,4
