event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-F-51Kg,,62,Rakhymberdi Zhansaya,KAZ,GUO YI XUAN,,GUO YI XUAN,WP 1:4,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-F-51Kg,,63,Ganieva Gulsevar,UZB,Nikhat Zareen,IND,Nikhat Zareen,WP 0:5,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-60Kg,,64,Hewitt William,ENG,Seitibek uulu Munarbek,KGZ,Seitibek uulu Munarbek,WP 2:3,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-60Kg,,65,Sachin Sachin,IND,Abdumurodov Dishod,UZB,Sachin Sachin,WP 5:0,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-70Kg,,66,Hitesh Hitesh,IND,Ismoilov Mukhammadazizbek,UZB,Hitesh Hitesh,WP 5:0,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-70Kg,,67,ZAKHARIEIEV Yurii,UKR,Mursal Nurbek,KAZ,Mursal Nurbek,WP 2:3,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-75Kg,,68,ILLIUSHA Pavlo,UKR,Abdurakhimov Javokhir,UZB,Abdurakhimov Javokhir,WP 2:3,2025-11-19 18:00,Session date,1
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-19,E-M-75Kg,,69,Sumit Sumit,IND,Jarliński Michał,POL,Jarliński Michał,WP 1:4,2025-11-19,Ring A Session 7 2025-11-19 18:00,2
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 54Kg,Final,,Preeti Preeti,IND,SIRINE CHARRABI,ITA,Preeti Preeti,WP 5:0,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 57Kg,Final,,Jaismine Jaismine,IND,WU SHIH YI,TPE,Jaismine Jaismine,WP 4:1,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 60Kg,Final,,Parveen Parveen,IND,TAGUCHI AYAKA,JPN,Parveen Parveen,WP 3:2,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 65Kg,Final,,CHEN NIEN CHIN,TPE,Burman Dione,ENG,CHEN NIEN CHIN,WP 4:1,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 70Kg,Final,,Choudhary Arundhati,IND,Zokirova Aziza,UZB,Choudhary Arundhati,WP 5:0,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 75Kg,Final,,EMMA SUE GREENTREE,AUS,GEMINI MELISSA,ITA,EMMA SUE GREENTREE,WP 5:0,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80Kg,Final,,Kaczmarska Agata,POL,Rani Pooja,IND,Kaczmarska Agata,WP 3:0,Thu 20 Nov 2025,As of line,4
World Boxing Cup Finals GREATER NOIDA 2025,2025-11-20,Women's Elite 80+Kg,Final,,Nupur Nupur,IND,Sotinboeva Oltinoy,UZB,Nupur Nupur,WP 3:2,Thu 20 Nov 2025,As of line,4
