event,date,division,page_type,rank,name,name_short,noc,medal,previous_rank,points_total,date_raw,date_source,page
,,WOMEN'S 48KG RANKINGS,ranking_table,1,Minakshi MINAKSHI,Minakshi MINAKSHI,IND,,1,2225.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,2,Nazym KYZAIBAY,Nazym KYZAIBAY,KAZ,,2,1262.5,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,3,Sabina BOBOKULOVA,Sabina BOBOKULOVA,UZB,,3,600.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,4,Enkh-Amgalan NOMUNDARI,Enkh-Amgalan NOMUNDARI,MGL,,4,500.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,5,Hiraku SHINOHARA,Hiraku SHINOHARA,JPN,,5,468.75,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,6,Altansetseg LUTSAIKHAN,Altansetseg LUTSAIKHAN,MGL,,6,450.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,7,Fozilova FARZONA,Fozilova FARZONA,UZB,,8,400.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,8,Hanna OKHOTA,Hanna OKHOTA,UKR,,7,337.5,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Giovanna MARCHESE,Giovanna MARCHESE,ITA,,8,300.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Sattibayeva ALGERIM,Sattibayeva ALGERIM,KAZ,,8,300.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,9,Yodwaree THIPSATCHA,Yodwaree THIPSATCHA,THA,,8,300.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,12,Alice PUMPHREY,Alice PUMPHREY,ENG,,12,225.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,13,Milagros Tatiana FLORES,Milagros Tatiana FLORES,ARG,,13,187.5,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,14,Fatima HERRERA,Fatima HERRERA,MEX,,18,175.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Jyoti JYOTI,Jyoti JYOTI,IND,,x,150.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Anh Pham THI QUYNH,Anh Pham THI QUYNH,VIE,,14,150.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Wangmo CHIMMI,Wangmo CHIMMI,BHU,,14,150.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,15,Yuka SADAMATSU,Yuka SADAMATSU,JPN,,14,150.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,19,Bak CHORONG,Bak CHORONG,KOR,,17,112.5,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,20,Angelika KRYSZTOFORSKA,Angelika KRYSZTOFORSKA,POL,,x,75.0,,,2
,,WOMEN'S 48KG RANKINGS,ranking_table,20,MARTA LÓPEZ DEL ÁRBOL,MARTA LÓPEZ DEL ÁRBOL,ESP,,19,75.0,,,2
