event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,date_source,page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,1,NITU,NITU NITU,IND,Gold,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,2,LUTSAIKHAN ALTANTSETSEG,LUTSAIKHAN ALTANTSETSEG,MGL,Silver,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,3,BALKIBEKOVA ALUA,BALKIBEKOVA ALUA,KAZ,Bronze,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,3,MOUTTAKI YASMINE,MOUTTAKI YASMINE,MAR,Bronze,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,5,WADA MADOKA,WADA MADOKA,JPN,,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,5,FOZILOVA FARZONA,FOZILOVA FARZONA,UZB,,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,5,BARUT ERIVAN,BARUT ERIVAN,TUR,,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-23,Elite Women 45-48KG Minimum,draw_sheet,5,ASENOVA SEVDA_YULIYANOVA,ASENOVA SEVDA_YULIYANOVA,BUL,,,,23.03,#277 / 23.03,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,1,NIKHAT ZAREEN (IND),NIKHAT ZAREEN,IND,Gold,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,2,NGUYEN THI TAM,NGUYEN THI TAM,VIE,Silver,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,3,VALENCIA_VICTORIA INGRIT_LORENA (COL),VALENCIA_VICTORIA INGRIT_LORENA,COL,Bronze,,,2023-03-26,footer,3
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,draw_sheet,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,,,2023-03-26,footer,3
