event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,BALKIBEKOVA ALUA,KAZ,CHEE WAI KEI WAN,SGP,BALKIBEKOVA ALUA,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,THI HOI NGUYEN,VIE,CHUMGALAKOVA IULIIA,RUS,CHUMGALAKOVA IULIIA,RSC,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,ONGARE CHRISTINE,KEN,MAGANGA RAHMA_JOSEPH_ANDREW,TAN,ONGARE CHRISTINE,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,BARUT ERIVAN,TUR,JAMEZ_GONZALEZ_YULIN_DAYANA,GUA,BARUT ERIVAN,RSC,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,CADENO_ROJAS TAYONIS_ANAONIS,VEN,TER-BARSEGHYAN GAYANE,ARM,CADENO_ROJAS TAYONIS_ANAONIS,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,WADA MADOKA,JPN,LIU CHIEN-LING,TPE,WADA MADOKA,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,QOSIMOVA SUMAIYA,TJK,HASEI WAFA,TUN,QOSIMOVA SUMAIYA,RSC,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,NITU NITU,IND,KANG DOYEON,KOR,NITU NITU,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,FOZILOVA FARZONA,UZB,RUMENI ROBERTA,ITA,FOZILOVA FARZONA,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,RAHIMOVA GUNEL QAYAZ,AZE,SILJKOVIC SNEZANA,SRB,SILJKOVIC SNEZANA,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,LUTSAIKHAN ALTANTSETSEG,MGL,BENNAMA RIM,FRA,LUTSAIKHAN ALTANTSETSEG,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,HU MEIYI,CHN,BOU MANSOURI FATIMA,ALG,HU MEIYI,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,DURUIKOA NICOLLE,SVK,LOPEZ_DEL_ARBOL MARTA,ESP,LOPEZ_DEL_ARBOL MARTA,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,MOUTTAKI YASMINE,MAR,SZELECZKI LILLA,HUN,MOUTTAKI YASMINE,WP,2023-03-25,title,2
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,Preliminaries,,GOMEZ_GALICIA INGRID_ALEXA,MEX,RANISINGHE_RACHCHIGE NADEKA_PUSHPAKUMARI,SRI,GOMEZ_GALICIA INGRID_ALEXA,WP,2023-03-25,title,2
