event,event_no,discipline,gender,phase,date,rank,name,team,time_raw,time_sec,status,date_raw,date_source,page
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,1,Srihari Nataraj,Karnataka,1:54.80,114.8,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,2,Kushagra Rawat,Delhi,1:56.12,116.12,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,3,Aneesh S Gowda,Karnataka,1:56.57,116.57,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,4,Sajan Prakash,Kerala,1:57.22,117.22,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,5,Rishabh Das,Maharashtra,1:57.69,117.69,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,6,Aryan Nehra,Gujarat,1:57.73,117.73,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,7,Tirthank Pegu,Assam,1:58.04,118.04,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,8,Gotteti Sampath Kumar Yadav,Andhra Pradesh,1:58.13,118.13,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,9,Abhinav. S,Kerala,1:58.87,118.87,R,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,10,Ronak Nitin Sawant,SSCB,1:58.91,118.91,R,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,11,Devansh Parmar,Gujarat,2:01.02,121.02,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,12,Shubham Dadaso Dhaygude,Maharashtra,2:03.24,123.24,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,13,Nithik Nathella,Tamilnadu,2:03.51,123.51,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,14,Varshith Dhlipudi,Telangana,2:03.67,123.67,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,15,Shubrant Patra,Odisha,2:05.43,125.43,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,15,Unni Krishnan S,SSCB,2:05.43,125.43,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,17,Raiyan Rajeeb,Delhi,2:07.18,127.18,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,18,Lakshya Jindal,Punjab,2:09.23,129.23,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,19,Atul Arya,Haryana,2:09.25,129.25,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,20,Parth Shrivastva,Chhattisgarh,2:09.32,129.32,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,22,Aryan Shashi Sharma,Goa,2:09.32,129.32,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,23,Shlok Gureja,Madhya Pradesh,2:10.53,130.53,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,24,Dwayne Mario Clemente,Goa,2:32.95,152.95,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,24,Deepak Kumar,Uttarakhand,2:39.28,159.28,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,,Aman Raj,Bihar,,,DNS,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Prelim,2025-01-29,,V.Leonard,Tamilnadu,,,DNS,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,1,Dhinidhi Desinghu,Karnataka,2:09.68,129.68,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,2,Shreenithi Natesan,Tamilnadu,2:11.05,131.05,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,3,Bhavya Sachdeva,Delhi,2:11.09,131.09,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,4,Jahnabi Kashyap,Assam,2:12.93,132.93,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,5,Aditi Satish Hegde,Maharashtra,2:14.20,134.2,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,6,Titiksha Rawat,Delhi,2:14.64,134.64,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,7,Subhranshini Priyadarshini,Assam,2:14.84,134.84,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,8,Meenakshi Menon,Karnataka,2:15.40,135.4,Q,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,9,Anvi Deshwal,Maharashtra,2:16.84,136.84,R,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,10,Shrungi Rajesh Bandekar,Goa,2:19.93,139.93,R,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,11,Adwika G Nair,Tamilnadu,2:21.24,141.24,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,12,Praniti Singh Choudhary,Rajasthan,2:22.14,142.14,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,13,Anshika Aradhna Sahoo,Odisha,2:27.34,147.34,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,14,Bhumi Agarwal,Madhya Pradesh,2:27.41,147.41,,29-01-2025,session date on first block,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,15,Shayla,Uttar Pradesh,2:27.88,147.88,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,16,Dakshina Bijo P,Kerala,2:28.58,148.58,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,17,Shubnoor Kaur,Punjab,2:29.54,149.54,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,18,Vanshika,Punjab,2:33.90,153.9,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,19,Nirmala. R,Kerala,2:35.67,155.67,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,20,Purna Amey Shikerkar,Goa,2:35.98,155.98,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,21,Bhavya Trivedi,Chhattisgarh,2:44.14,164.14,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,22,Gaitri Thoudam,Manipur,2:54.52,174.52,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Prelim,2025-01-29,23,Tisha Verma,Uttarakhand,3:11.45,191.45,,29-01-2025,session date printed on the page,2
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Prelim,2025-01-29,1,Sajan Prakash,Kerala,54.87,54.87,Q,29-01-2025,session date printed on the page,2
