event,event_no,discipline,gender,phase,date,rank,team,time_raw,time_sec,status,leg,swimmer,date_raw,date_source,page
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,1,Tamilnadu,3:39.17,219.17,Q,1,Joshua Thomas,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,1,Tamilnadu,3:39.17,219.17,Q,2,M.J.Praveen Kumar,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,1,Tamilnadu,3:39.17,219.17,Q,3,M.S.Yadesh Babu,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,1,Tamilnadu,3:39.17,219.17,Q,4,Benediction Rohit,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,2,Karnataka,3:40.44,220.44,Q,1,Akash Mani,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,2,Karnataka,3:40.44,220.44,Q,2,Chinatan S Shetty,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,2,Karnataka,3:40.44,220.44,Q,3,Aneesh S Gowda,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,2,Karnataka,3:40.44,220.44,Q,4,Srihari Nataraj,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,3,Maharashtra,3:41.75,221.75,Q,1,Om Pravin Satam,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,3,Maharashtra,3:41.75,221.75,Q,2,Heer Gitesh Shah,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,3,Maharashtra,3:41.75,221.75,Q,3,Salil Bhagwat,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,3,Maharashtra,3:41.75,221.75,Q,4,Rishabh Das,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,4,Andhra Pradesh,3:41.92,221.92,Q,1,Mongam Theerdu Samadev,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,4,Andhra Pradesh,3:41.92,221.92,Q,2,Neelam Deva Ganesh,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,4,Andhra Pradesh,3:41.92,221.92,Q,3,Sarath Mogili,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,4,Andhra Pradesh,3:41.92,221.92,Q,4,Gotteti Sampath Kumar Yadav,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,5,Gujarat,3:43.92,223.92,Q,1,Devansh Parmar,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,5,Gujarat,3:43.92,223.92,Q,2,Anshul Kothari,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,5,Gujarat,3:43.92,223.92,Q,3,Heer Pitroda,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,5,Gujarat,3:43.92,223.92,Q,4,Aryan Nehra,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,6,Bengal,3:44.92,224.92,Q,1,Parambrata Biswas,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,6,Bengal,3:44.92,224.92,Q,2,Soumyajit Saha,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,6,Bengal,3:44.92,224.92,Q,3,Utsab Datta,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,6,Bengal,3:44.92,224.92,Q,4,Sougata Das,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,7,SSCB,3:45.57,225.57,Q,1,Unni Krishnan S,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,7,SSCB,3:45.57,225.57,Q,2,Ronak Nitin Sawant,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,7,SSCB,3:45.57,225.57,Q,3,Ansukar,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,7,SSCB,3:45.57,225.57,Q,4,Vikkas P,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,8,Punjab,3:50.13,230.13,Q,1,Mridul Punia,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,8,Punjab,3:50.13,230.13,Q,2,Anshav Jindal,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,8,Punjab,3:50.13,230.13,Q,3,Lakshya Jindal,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,8,Punjab,3:50.13,230.13,Q,4,Rishabh Singh Dadhwal,29-01-2025,session date on first block,3
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,9,Odisha,3:54.62,234.62,R,1,Nabin Sharma,29-01-2025,session date printed on page,4
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,9,Odisha,3:54.62,234.62,R,2,Jagjit Pradhan,29-01-2025,session date printed on page,4
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Prelim,2025-01-29,9,Odisha,3:54.62,234.62,R,3,Anshuman Vashist,29-01-2025,session date printed on page,4
