event,event_no,discipline,gender,phase,date,rank,name,team,time_raw,time_sec,status,date_raw,date_source,page
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,1,Srihari Nataraj,Karnataka,1:50.57,110.57,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,2,Aneesh S Gowda,Karnataka,1:52.42,112.42,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,3,Sajan Prakash,Kerala,1:53.73,113.73,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,4,Kushagra Rawat,Delhi,1:54.38,114.38,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,5,Aryan Nehra,Gujarat,1:54.53,114.53,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,6,Rishabh Das,Maharashtra,1:54.61,114.61,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,7,Tirthank Pegu,Assam,1:55.00,115.0,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,1,200m Freestyle,Men,Final,2025-01-29,8,Gotteti Sampath Kumar Yadav,Andhra Pradesh,1:58.45,118.45,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,1,Dhinidhi Desinghu,Karnataka,2:03.24,123.24,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,2,Bhavya Sachdeva,Delhi,2:08.68,128.68,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,3,Aditi Satish Hegde,Maharashtra,2:09.74,129.74,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,4,Shreenithi Natesan,Tamilnadu,2:10.43,130.43,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,4,Titiksha Rawat,Delhi,2:10.43,130.43,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,6,Jahnabi Kashyap,Assam,2:12.94,132.94,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,7,Meenakshi Menon,Karnataka,2:13.78,133.78,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,2,200m Freestyle,Women,Final,2025-01-29,8,Subhranshini Priyadarshini,Assam,2:13.84,133.84,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,1,Benedicton Rohit,Tamilnadu,53.89,53.89,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,2,Mihir Ambre,Maharashtra,54.24,54.24,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,3,Sajan Prakash,Kerala,54.52,54.52,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,4,Bikram Changmai,Assam,55.32,55.32,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,5,Harsh Saroha,Haryana,55.36,55.36,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,6,Jananjoy Jyoti Hazarika,Assam,55.49,55.49,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,7,Salil Bhagwat,Maharashtra,55.69,55.69,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,3,100m Butterfly,Men,Final,2025-01-29,8,Aryan Panchal,Gujarat,56.89,56.89,,29-01-2025,first block heading,1
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,1,Dhinidhi Desinghu,Karnataka,1:03.62,63.62,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,2,Naisha Shetty,Karnataka,1:04.81,64.81,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,3,Shristi Upadhaya,Odisha,1:05.20,65.2,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,4,Snigdha Ghosh,Bengal,1:05.43,65.43,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,5,Bhumi Gupta,Chhattisgarh,1:05.45,65.45,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,6,Asta Choudhury,Assam,1:05.46,65.46,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,7,Jahnabi Kashyap,Assam,1:06.46,66.46,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,4,100m Butterfly,Women,Final,2025-01-29,8,Stuti Chatterjee,Haryana,1:06.82,66.82,,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,1,Kushagra Rawat,Delhi,15:37.79,937.79,NMR,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,2,Advait Page,Madhya Pradesh,15:55.95,955.95,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,3,Aryan Nehra,Gujarat,16:08.93,968.93,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,4,Dharshan S,Karnataka,16:12.04,972.04,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,5,Aneesh S Gowda,Karnataka,16:17.09,977.09,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,6,Mongam Theerdhu Samadev,Andhra Pradesh,16:20.32,980.32,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,7,Anurag R Singh,Uttar Pradesh,16:26.74,986.74,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,8,Gotteti Sampath Kumar Yadav,Andhra Pradesh,16:40.78,1000.78,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,9,Rishi Rajesh Bhagat,Maharashtra,16:53.25,1013.25,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,10,Om Pravin Satam,Maharashtra,16:57.06,1017.06,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,11,Ronak Nitin Sawant,SSCB,16:57.31,1017.31,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,12,Anvesh Singh,Madhya Pradesh,17:12.64,1032.64,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,13,Shravan S,Kerala,17:16.48,1036.48,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,14,Army Pal,Bengal,17:49.10,1069.1,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,15,Parth Shrivastva,Chhattisgarh,18:13.60,1093.6,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,16,Akash G.M,Kerala,18:22.42,1102.42,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,17,Aahil Sheikh,Goa,20:10.68,1210.68,,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,7,1500m Freestyle,Men,Results,2025-01-30,,Devansh Parmar,Gujarat,,,DNS,30-01-2025,Event 6 heading,3
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,1,Saanvi Deshwal,Maharashtra,5:08.49,308.49,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,2,Shreenithi Natesan,Tamilnadu,5:13.41,313.41,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,3,Bhavya Sachdeva,Delhi,5:18.18,318.18,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,4,Shrungi Rajesh Bandekar,Goa,5:24.45,324.45,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,5,Jedidah A,Karnataka,5:26.64,326.64,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,6,Meenakshi Menon,Karnataka,5:32.91,332.91,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,7,Nadakuditi Pavani Sarayu,Andhra Pradesh,5:42.49,342.49,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,8,400m Medley,Women,Final,2025-01-30,8,Pratyasa Ray,Odisha,5:56.94,356.94,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,9,200m Breaststroke,Men,Final,2025-01-30,1,S.Danush,Tamilnadu,2:19.68,139.68,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,9,200m Breaststroke,Men,Final,2025-01-30,2,Manikanta L,Karnataka,2:21.78,141.78,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,9,200m Breaststroke,Men,Final,2025-01-30,3,Rana Pratap,Jharkhand,2:24.61,144.61,,30-01-2025,Event 8 heading,4
38th NATIONAL GAMES 2025,9,200m Breaststroke,Men,Final,2025-01-30,4,Lohith Mogili,Andhra Pradesh,2:25.01,145.01,,30-01-2025,Event 8 heading,4
