event,event_no,discipline,gender,phase,date,rank,team,leg,swimmer,date_raw,date_source,page
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,1,Karnataka,1,Akash Mani,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,1,Karnataka,2,Chinatan S Shetty,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,1,Karnataka,3,Aneesh S Gowda,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,1,Karnataka,4,Srihari Nataraj,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,2,Tamilnadu,1,M.J.Praveen Kumar,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,2,Tamilnadu,2,M.S.Yadesh Babu,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,2,Tamilnadu,3,Joshua Thomas,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,2,Tamilnadu,4,Benedicton Rohit,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,3,Gujarat,1,Aryan Nehra,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,3,Gujarat,2,Devansh Parmar,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,3,Gujarat,3,Heer Pitroda,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,3,Gujarat,4,Anshul Kothari,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,4,Maharashtra,1,Heer Gitesh Shah,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,4,Maharashtra,2,Om Pravin Satam,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,4,Maharashtra,3,Salil Bhagwat,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,4,Maharashtra,4,Rishabh Das,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,5,Andhra Pradesh,1,Mongam Theerdu Samadev,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,5,Andhra Pradesh,2,Neelam Deva Ganesh,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,5,Andhra Pradesh,3,Sarath Mogili,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,5,Andhra Pradesh,4,Gotteti Sampath Kumar Yadav,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,6,Bengal,1,Parambrata Biswas,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,6,Bengal,2,Soumyajit Saha,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,6,Bengal,3,Utsab Datta,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,6,Bengal,4,Sougata Das,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,7,SSCB,1,Unni Krishnan S,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,7,SSCB,2,Ronak Nitin Sawant,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,7,SSCB,3,Ansukar,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,7,SSCB,4,Vikkas P,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,8,Punjab,1,Mridul Punia,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,8,Punjab,2,Anshav Jindal,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,8,Punjab,3,Lakshya Jindal,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,5,4 x 100m Freestyle,Men,Final,2025-01-29,8,Punjab,4,Rishabh Singh Dadhwal,29-01-2025,Event 4 heading,2
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,1,Karnataka,1,Akash Mani,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,1,Karnataka,2,Vidith S Shankar,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,1,Karnataka,3,Aneesh S Gowda,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,1,Karnataka,4,Srihari Nataraj,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,2,Tamilnadu,1,Nithik Nathella,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,2,Tamilnadu,2,S.Danush,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,2,Tamilnadu,3,Benedicton Rohit,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,2,Tamilnadu,4,Joshua Thomas,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,3,Maharashtra,1,Rishabh Das,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,3,Maharashtra,2,Prithviraj Dange,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,3,Maharashtra,3,Mihir Ambre,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,3,Maharashtra,4,Heer Gitesh Shah,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,4,Bengal,1,Soumyajit Saha,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,4,Bengal,2,Dipan Das,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,4,Bengal,3,Parambrata Biswas,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,4,Bengal,4,Sougata Das,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,5,Andhra Pradesh,1,Sarath Mogili,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,5,Andhra Pradesh,2,Lohith Mogili,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,5,Andhra Pradesh,3,Neelam Deva Ganesh,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,5,Andhra Pradesh,4,Gotteti Sampath Kumar Yadav,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,6,Gujarat,1,Devansh Parmar,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,6,Gujarat,2,Dishant Mehta,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,6,Gujarat,3,Aryan Panchal,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,6,Gujarat,4,Anshul Kothari,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,7,Madhya Pradesh,1,Aaryan Ganesh,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,7,Madhya Pradesh,2,Anvesh Singh,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,7,Madhya Pradesh,3,Ayushman Dubey,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,7,Madhya Pradesh,4,Bhavesh Choudhary,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,8,Punjab,1,Mridul Punia,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,8,Punjab,2,Kashish Punia,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,8,Punjab,3,Anshav Jindal,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,11,4 x 100m Medley,Men,Final,2025-01-30,8,Punjab,4,Rishabh Singh Dadhwal,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,1,Odisha,1,Pratyasa Ray,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,1,Odisha,2,Mannata Mishra,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,1,Odisha,3,Shristi Upadhaya,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,1,Odisha,4,Divyanka Dibyajyoti Pradhan,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,2,Maharashtra,1,Rujuta Rajadnya,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,2,Maharashtra,2,Jyoti Patil,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,2,Maharashtra,3,Pratishtha Dangi,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,2,Maharashtra,4,Aditi Satish Hegde,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,3,Karnataka,1,Siddhi G Shah,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,3,Karnataka,2,Vihitha Nayana,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,3,Karnataka,3,Naisha Shetty,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,3,Karnataka,4,Dhinidhi Desinghu,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,4,Tamilnadu,1,Pramiti Gnanasekaran,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,4,Tamilnadu,2,Shreenithi Natesan,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,4,Tamilnadu,3,B.Roshini,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,4,Tamilnadu,4,Deeksha Sivakumar,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,5,Bengal,1,Soubritya Mondal,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,5,Bengal,2,Pritha Debnath,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,5,Bengal,3,Snigdha Ghosh,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,5,Bengal,4,Mouboni Patra,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,6,Kerala,1,Avanthika Pradeep,30-01-2025,session date printed on block heading,5
