event,date,division,rank,name,name_short,country,medal,date_raw,_page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),1,RANI MANJU,RANI M,IND,Gold,SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),2,LOPEZ DEL ARBOL MARTA,LOPEZ DEL ARBOL M,ESP,Silver,SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),3,LYNIV SOLOMIIA,LYNIV S,UKR,Bronze,SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),3,TURGANOVA YELYANUR,TURGANOVA Y,KAZ,Bronze,SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 48 Kg (EW-48 kg),5,D'ALMEIDA GLORIA,D'ALMEIDA G,FRA,,SÁ. 7 FEB. 2026,32
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),1,NITU,N,IND,Gold,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),2,GUTIERREZ SALMERON NOELIA,GUTIERREZ SALMERON,ESP,Silver,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),3,RAKSAT CHUTHAMAT,RAKSAT C,THA,Bronze,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),3,POKUSAI TAISSIA,POKUSAI T,UKR,Bronze,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,WRIGHT MCKENZIE,WRIGHT M,CAN,,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,BOUREGA MAYSSOUN,BOUREGA M,FRA,,SÁ. 7 FEB. 2026,33
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Women - 51 Kg (EW-51 kg),5,KUSUM,K,IND,,SÁ. 7 FEB. 2026,33
