event,date,division,rank,name,name_short,country,medal,date_raw,_page
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,1,SAKAI YUTA,SAKAI YUTA,JPN,Gold,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,2,ASHISH ASHISH,ASHISH ASHISH,IND,Silver,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,3,AYVAZYAN GOR,AYVAZYAN GOR,GEO,Bronze,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,3,NORTOJIEV KHUJANAZAR,NORTOJIEV KHUJANAZAR,UZB,Bronze,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,5,BONILLA ANDREY,BONILLA ANDREY,MEX,,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,5,CULLEN AARON,CULLEN AARON,SCO,,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,5,LAI YAN-LIN,LAI YAN-LIN,TPE,,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Bantam (51-54kg) Youth Men,5,RYAN GAVIN_SHANE,RYAN GAVIN_SHANE,IRL,,,113
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,1,SAKAI YUTA,SAKAI YUTA,JPN,Gold,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,2,ASHISH ASHISH,ASHISH ASHISH,IND,Silver,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,3,AVYAZYAN GOR,AVYAZYAN GOR,GEO,Bronze,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,3,NORTOJIEV KHUJANAZAR,NORTOJIEV KHUJANAZAR,UZB,Bronze,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,5,BONILLA ANDREY,BONILLA ANDREY,MEX,,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,5,CULLEN AARON,CULLEN AARON,SCO,,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,5,LAI YAN-LIN,LAI YAN-LIN,TPE,,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (51-54kg) Youth Men,5,RYAN GAVIN_SHANE,RYAN GAVIN_SHANE,IRL,,2022-12-01,114
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,1,SAKAI YUTA,SAKAI YUTA,JPN,Gold,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,2,ASHISH ASHISH,ASHISH ASHISH,IND,Silver,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,3,AVYAZYAN GOR,AVYAZYAN GOR,GEO,Bronze,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,3,NORTOJIEV KHUJANAZAR,NORTOJIEV KHUJANAZAR,UZB,Bronze,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,5,BONILLA ANDREY,BONILLA ANDREY,MEX,,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,5,CULLEN AARON,CULLEN AARON,SCO,,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,5,LAI YAN-LIN,LAI YAN-LIN,TPE,,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",,Pool winner-Bantam (51-54kg) Youth Men,5,RYAN GAVIN SHANE,RYAN GAVIN SHANE,IRL,,,115
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,1,BAZAROVA ELINA,BAZAROVA ELINA,KAZ,Gold,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,2,KOUTSOCHRISTOU CHRISOVALANTOU,KOUTSOCHRISTOU CHRISOVALANTOU,GER,Silver,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,3,WEERHEIM GABRIELLA MARIA,WEERHEIM GABRIELLA MARIA,NED,Bronze,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,3,CHUPRADIT KAMONCHANOK,CHUPRADIT KAMONCHANOK,THA,Bronze,2022-12-01,116
"IBA Youth Men's & Women's World Championships 2022, Alicante, ESP",2022-12-01,Bantam (52-54kg) Youth Women,5,HUIDROM GRIVIYA DEVI,HUIDROM GRIVIYA DEVI,IND,,2022-12-01,116
