Session,Date,Start Time,Ring,Page,Order,Bout No,Gender,Weight Category,Weight Code,Red Boxer,Red Team,Blue Boxer,Blue Team,Winner Corner,Winner Boxer,Winner Team,Result,Decision,Referee Team,Referee Name,Judge 1 Team,Judge 1 Name,Judge 1 Score,Judge 2 Team,Judge 2 Name,Judge 2 Score,Judge 3 Team,Judge 3 Name,Judge 3 Score,Judge 4 Team,Judge 4 Name,Judge 4 Score,Judge 5 Team,Judge 5 Name,Judge 5 Score
1,MA. 3 FEB. 2026,15:30,RING A,3,1,1,Women,Elite Women - 54 Kg (EW-54kg),EW-54kg,ALIASKAR SYMBAT,KAZ,PREETI,IND,BLUE,PREETI,IND,WP,5:0,ESP,FLORES SANTIAGO,KAZ,BATYROV NURBEK,28:29,FRA,FORGET ALAIN,27:30,ENG,KHAN KAMRAN,27:30,UKR,SOKOLOV RUSLAN,28:29,ESP,MOYA FLORENTINO,27:29
1,MA. 3 FEB. 2026,15:30,RING A,3,2,2,Women,Elite Women - 57 Kg (EW-57kg),EW-57kg,ISSAYEVA SHAKHNAZ,KAZ,WEERHEIM GABRIELLA,NED,BLUE,WEERHEIM GABRIELLA,NED,WP,4:1,ESP,AVILA PRIETO FRANCISCO JOSE,KAZ,BATYROV NURBEK,29:28,FRA,FORGET ALAIN,27:30,UKR,SOKOLOV RUSLAN,28:29,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,27:30,ENG,KHAN KAMRAN,28:29
1,MA. 3 FEB. 2026,15:30,RING A,3,3,3,Women,Elite Women - 57 Kg (EW-57kg),EW-57kg,MORELL RAMIREZ VANESA,ESP,PRACHI,IND,BLUE,PRACHI,IND,WP,5:0,ESP,FLORES SANTIAGO,FRA,FORGET ALAIN,26:30,KAZ,BATYROV NURBEK,27:30,UKR,SOKOLOV RUSLAN,26:30,ESP,AVILA PRIETO FRANCISCO JOSE,27:30,ENG,KHAN KAMRAN,26:30
1,MA. 3 FEB. 2026,15:30,RING A,3,4,4,Women,Elite Women - 60 Kg (EW-60kg),EW-60kg,PRIYA,IND,MANSUETTO ALESSIA,CAN,RED,PRIYA,IND,WP,5:0,ESP,MOYA FLORENTINO,FRA,FORGET ALAIN,30:26,ESP,FLORES SANTIAGO,30:27,UKR,SOKOLOV RUSLAN,30:27,ENG,KHAN KAMRAN,30:27,KAZ,BATYROV NURBEK,30:27
1,MA. 3 FEB. 2026,15:30,RING A,3,5,5,Women,Elite Women - 60 Kg (EW-60kg),EW-60kg,YERMEK AYAZHAN,KAZ,van der TOORN MAUD,NED,BLUE,van der TOORN MAUD,NED,WP,5:0,ESP,AVILA PRIETO FRANCISCO JOSE,UKR,SOKOLOV RUSLAN,27:30,FRA,FORGET ALAIN,28:29,ENG,KHAN KAMRAN,28:29,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,28:29,ESP,MOYA FLORENTINO,28:29
1,MA. 3 FEB. 2026,15:30,RING A,3,6,6,Women,Elite Women - 65 Kg (EW-65kg),EW-65kg,SHEVCHENKO MARYNA,UKR,JILKOVÁ VIKTORIE,CZE,BLUE,JILKOVÁ VIKTORIE,CZE,WP,5:0,ENG,KHAN KAMRAN,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,27:30,FRA,FORGET ALAIN,28:29,KAZ,BATYROV NURBEK,28:29,ESP,FLORES SANTIAGO,27:30,ESP,MOYA FLORENTINO,28:29
1,MA. 3 FEB. 2026,15:30,RING A,3,7,7,Women,Elite Women - 65 Kg (EW-65kg),EW-65kg,JENNI ANNA,SUI,SERIK NAZERKE,KAZ,BLUE,SERIK NAZERKE,KAZ,WP,5:0,ESP,FLORES SANTIAGO,ESP,MOYA FLORENTINO,27:30,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,28:29,UKR,SOKOLOV RUSLAN,28:29,FRA,FORGET ALAIN,27:30,ENG,KHAN KAMRAN,28:29
1,MA. 3 FEB. 2026,15:30,RING A,3,8,8,Men,Elite Men - 60 Kg (EM-60kg),EM-60kg,AL CHABTUN MAHMOUD,NED,AL AHMADIEH KEOMA-ALI,CAN,BLUE,AL AHMADIEH KEOMA-ALI,CAN,WP,5:0,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,ESP,AVILA PRIETO FRANCISCO JOSE,27:30,FRA,FORGET ALAIN,27:30,KAZ,BATYROV NURBEK,27:30,UKR,SOKOLOV RUSLAN,27:30,ENG,KHAN KAMRAN,27:30
1,MA. 3 FEB. 2026,15:30,RING A,4,9,9,Men,Elite Men - 60 Kg (EM-60kg),EM-60kg,MOHAMMED HUSSAM UDDIN,IND,BÜYÜKDEMIR MATIAS MEHMET,DEN,RED,MOHAMMED HUSSAM UDDIN,IND,WP,4:1,ESP,MOYA FLORENTINO,UKR,SOKOLOV RUSLAN,29:28,KAZ,BATYROV NURBEK,30:27,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,29:28,FRA,FORGET ALAIN,29:28,ENG,KHAN KAMRAN,28:29
1,MA. 3 FEB. 2026,15:30,RING A,4,10,10,Men,Elite Men - 60 Kg (EM-60kg),EM-60kg,DAHLY ALI,UKR,RUAMTHAM SAKDA,THA,RED,DAHLY ALI,UKR,WP,5:0,KAZ,BATYROV NURBEK,ESP,AVILA PRIETO FRANCISCO JOSE,30:27,ESP,MOYA FLORENTINO,30:27,ESP,FLORES SANTIAGO,30:27,FRA,FORGET ALAIN,30:27,ENG,KHAN KAMRAN,29:28
