Session,Bout No,Weight Category,Red Boxer,Blue Boxer,Judge No,Judge Team,Judge Name,Score,Red Points,Blue Points,Preferred Winner Flag
1,1,Elite Women - 54 Kg (EW-54kg),ALIASKAR SYMBAT,PREETI,1,KAZ,BATYROV NURBEK,28:29,28,29,
1,1,Elite Women - 54 Kg (EW-54kg),ALIASKAR SYMBAT,PREETI,2,FRA,FORGET ALAIN,27:30,27,30,
1,1,Elite Women - 54 Kg (EW-54kg),ALIASKAR SYMBAT,PREETI,3,ENG,KHAN KAMRAN,27:30,27,30,
1,1,Elite Women - 54 Kg (EW-54kg),ALIASKAR SYMBAT,PREETI,4,UKR,SOKOLOV RUSLAN,28:29,28,29,
1,1,Elite Women - 54 Kg (EW-54kg),ALIASKAR SYMBAT,PREETI,5,ESP,MOYA FLORENTINO,27:29,27,29,
1,2,Elite Women - 57 Kg (EW-57kg),ISSAYEVA SHAKHNAZ,WEERHEIM GABRIELLA,1,KAZ,BATYROV NURBEK,29:28,29,28,
1,2,Elite Women - 57 Kg (EW-57kg),ISSAYEVA SHAKHNAZ,WEERHEIM GABRIELLA,2,FRA,FORGET ALAIN,27:30,27,30,
1,2,Elite Women - 57 Kg (EW-57kg),ISSAYEVA SHAKHNAZ,WEERHEIM GABRIELLA,3,UKR,SOKOLOV RUSLAN,28:29,28,29,
1,2,Elite Women - 57 Kg (EW-57kg),ISSAYEVA SHAKHNAZ,WEERHEIM GABRIELLA,4,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,27:30,27,30,
1,2,Elite Women - 57 Kg (EW-57kg),ISSAYEVA SHAKHNAZ,WEERHEIM GABRIELLA,5,ENG,KHAN KAMRAN,28:29,28,29,
1,3,Elite Women - 57 Kg (EW-57kg),MORELL RAMIREZ VANESA,PRACHI,1,FRA,FORGET ALAIN,26:30,26,30,
1,3,Elite Women - 57 Kg (EW-57kg),MORELL RAMIREZ VANESA,PRACHI,2,KAZ,BATYROV NURBEK,27:30,27,30,
1,3,Elite Women - 57 Kg (EW-57kg),MORELL RAMIREZ VANESA,PRACHI,3,UKR,SOKOLOV RUSLAN,26:30,26,30,
1,3,Elite Women - 57 Kg (EW-57kg),MORELL RAMIREZ VANESA,PRACHI,4,ESP,AVILA PRIETO FRANCISCO JOSE,27:30,27,30,
1,3,Elite Women - 57 Kg (EW-57kg),MORELL RAMIREZ VANESA,PRACHI,5,ENG,KHAN KAMRAN,26:30,26,30,
1,4,Elite Women - 60 Kg (EW-60kg),PRIYA,MANSUETTO ALESSIA,1,FRA,FORGET ALAIN,30:26,30,26,
1,4,Elite Women - 60 Kg (EW-60kg),PRIYA,MANSUETTO ALESSIA,2,ESP,FLORES SANTIAGO,30:27,30,27,
1,4,Elite Women - 60 Kg (EW-60kg),PRIYA,MANSUETTO ALESSIA,3,UKR,SOKOLOV RUSLAN,30:27,30,27,
1,4,Elite Women - 60 Kg (EW-60kg),PRIYA,MANSUETTO ALESSIA,4,ENG,KHAN KAMRAN,30:27,30,27,
1,4,Elite Women - 60 Kg (EW-60kg),PRIYA,MANSUETTO ALESSIA,5,KAZ,BATYROV NURBEK,30:27,30,27,
1,5,Elite Women - 60 Kg (EW-60kg),YERMEK AYAZHAN,van der TOORN MAUD,1,UKR,SOKOLOV RUSLAN,27:30,27,30,
1,5,Elite Women - 60 Kg (EW-60kg),YERMEK AYAZHAN,van der TOORN MAUD,2,FRA,FORGET ALAIN,28:29,28,29,
1,5,Elite Women - 60 Kg (EW-60kg),YERMEK AYAZHAN,van der TOORN MAUD,3,ENG,KHAN KAMRAN,28:29,28,29,
1,5,Elite Women - 60 Kg (EW-60kg),YERMEK AYAZHAN,van der TOORN MAUD,4,ESP,FERNANDEZ FERNANDEZ JOSE RAMÓN,28:29,28,29,
