Weight Category,Date,Medal,Boxer,Team Code
Elite Men - 50 Kg (EM-50kg),SÁ. 7 FEB.,GOLD,TASHKENBAY SANZHAR,KAZ
Elite Men - 50 Kg (EM-50kg),,SILVER,MAGHRAOUI FRYHAH ISMAEL,ESP
Elite Men - 50 Kg (EM-50kg),,BRONZE,DIAZ LOPEZ CARLOS,ESP
Elite Men - 50 Kg (EM-50kg),,BRONZE,ONGAROV NURZAT,KAZ
Elite Men - 55 Kg (EM-55kg),SÁ. 7 FEB.,GOLD,SABYRKHAN MAKHMUD,KAZ
Elite Men - 55 Kg (EM-55kg),,SILVER,TROWBRIDGE ELLIS,ENG
Elite Men - 55 Kg (EM-55kg),,BRONZE,MANDENGBAM JADUMANI SINGH,IND
Elite Men - 55 Kg (EM-55kg),,BRONZE,TOMINES MAXIMUS,CAN
Elite Men - 60 Kg (EM-60kg),SÁ. 7 FEB.,GOLD,SACHIN,IND
Elite Men - 60 Kg (EM-60kg),,SILVER,AL AHMADIEH KEOMA-ALI,CAN
Elite Men - 60 Kg (EM-60kg),,BRONZE,DRYDEN JACK,ENG
Elite Men - 60 Kg (EM-60kg),,BRONZE,MOHAMMED HUSSAM UDDIN,IND
Elite Men - 65 Kg (EM-65kg),SÁ. 7 FEB.,GOLD,ALIIEV ELVIN,UKR
Elite Men - 65 Kg (EM-65kg),,SILVER,OUNAI MOHAMED,FRA
Elite Men - 65 Kg (EM-65kg),,BRONZE,IBARRECHE CONDE OIER,ESP
Elite Men - 65 Kg (EM-65kg),,BRONZE,PIDNUCH KHUNATIP,THA
Elite Men - 70 Kg (EM-70kg),SÁ. 7 FEB.,GOLD,SABYRKHAN TOREKHAN,KAZ
Elite Men - 70 Kg (EM-70kg),,SILVER,DEEPAK,IND
Elite Men - 70 Kg (EM-70kg),,BRONZE,HITESH,IND
Elite Men - 70 Kg (EM-70kg),,BRONZE,MURSAL NURBEK,KAZ
Elite Men - 75 Kg (EM-75kg),SÁ. 7 FEB.,GOLD,AKASH,IND
Elite Men - 75 Kg (EM-75kg),,SILVER,KONSBEKOV AMAN,KAZ
Elite Men - 75 Kg (EM-75kg),,BRONZE,NURSEITOV TIMUR,KAZ
Elite Men - 75 Kg (EM-75kg),,BRONZE,ZAKHARIEIEV YURII,UKR
Elite Men - 80 Kg (EM-80kg),SÁ. 7 FEB.,GOLD,ILLIUSHA PAVLO,UKR
Elite Men - 80 Kg (EM-80kg),,SILVER,ANKUSH,IND
Elite Men - 80 Kg (EM-80kg),,BRONZE,COY BERNAL PABLO,ESP
Elite Men - 80 Kg (EM-80kg),,BRONZE,BEKTAS AZAMAT,KAZ
Elite Men - 85 Kg (EM-85kg),SÁ. 7 FEB.,GOLD,ORALBAY NURBEK,KAZ
Elite Men - 85 Kg (EM-85kg),,SILVER,PANAH ARYAN SAED,NEU
Elite Men - 85 Kg (EM-85kg),,BRONZE,FRESNEDA RICARDO ADRIAN,ESP
Elite Men - 85 Kg (EM-85kg),,BRONZE,LAKTIONOV MYKOLA,UKR
Elite Men - 90 Kg (EM-90kg),SÁ. 7 FEB.,GOLD,REYES PLA ENMANUEL,ESP
Elite Men - 90 Kg (EM-90kg),,SILVER,TOGAMBAY SAGYNDYK,KAZ
Elite Men - 90 Kg (EM-90kg),,BRONZE,OKOH ISSAC,ENG
Elite Men - 90 Kg (EM-90kg),,BRONZE,MICHKOVSKYI PAVLO,UKR
Elite Men + 90 Kg (EM+90kg),SÁ. 7 FEB.,GOLD,ORALBAY AIBEK,KAZ
Elite Men + 90 Kg (EM+90kg),,SILVER,ASSYLKHAN NURASSYL,KAZ
Elite Men + 90 Kg (EM+90kg),,BRONZE,KHALETSKYI ANDRII,UKR
Elite Men + 90 Kg (EM+90kg),,BRONZE,LOVCHYNSKYI DMYTRO,UKR
Elite Women - 48 Kg (EW-48kg),SÁ. 7 FEB.,GOLD,RANI MANJU,IND
Elite Women - 48 Kg (EW-48kg),,SILVER,LOPEZ DEL ARBOL MARTA,ESP
Elite Women - 48 Kg (EW-48kg),,BRONZE,LYNIV SOLOMIIA,UKR
Elite Women - 48 Kg (EW-48kg),,BRONZE,TURGANOVA YELYANUR,KAZ
Elite Women - 51 Kg (EW-51kg),SÁ. 7 FEB.,GOLD,NITU,IND
Elite Women - 51 Kg (EW-51kg),,SILVER,GUTIERREZ SALMERON NOELIA,ESP
Elite Women - 51 Kg (EW-51kg),,BRONZE,RAKSAT CHUTHAMAT,THA
Elite Women - 51 Kg (EW-51kg),,BRONZE,POKUSAI TAISSIA,UKR
Elite Women - 54 Kg (EW-54kg),SÁ. 7 FEB.,GOLD,POONAM,IND
Elite Women - 54 Kg (EW-54kg),,SILVER,PREETI,IND
Elite Women - 54 Kg (EW-54kg),,BRONZE,SMITH IVY-JANE,ENG
Elite Women - 54 Kg (EW-54kg),,BRONZE,HAMDI AYA,FRA
Elite Women - 57 Kg (EW-57kg),SÁ. 7 FEB.,GOLD,RUENROS PUNRAWEE,THA
Elite Women - 57 Kg (EW-57kg),,SILVER,WEERHEIM GABRIELLA,NED
Elite Women - 57 Kg (EW-57kg),,BRONZE,AL AHMADIEH MARIE,CAN
Elite Women - 57 Kg (EW-57kg),,BRONZE,PARSONS VIVIEN,ENG
Elite Women - 60 Kg (EW-60kg),SÁ. 7 FEB.,GOLD,PRIYA,IND
Elite Women - 60 Kg (EW-60kg),,SILVER,DOVHAL TETIANA,UKR
Elite Women - 60 Kg (EW-60kg),,BRONZE,van der TOORN MAUD,NED
Elite Women - 60 Kg (EW-60kg),,BRONZE,SOMNUEK THANANYA,THA
Elite Women - 65 Kg (EW-65kg),SÁ. 7 FEB.,GOLD,ALLEN KAYLA,ENG
Elite Women - 65 Kg (EW-65kg),,SILVER,SERIK NAZERKE,KAZ
Elite Women - 65 Kg (EW-65kg),,BRONZE,KAJAL,IND
Elite Women - 65 Kg (EW-65kg),,BRONZE,YADAV PRANJAL,IND
Elite Women - 70 Kg (EW-70kg),SÁ. 7 FEB.,GOLD,CHOURDHARY ARUNDHATI,IND
Elite Women - 70 Kg (EW-70kg),,SILVER,TARAN ANASTASIIA,UKR
Elite Women - 70 Kg (EW-70kg),,BRONZE,MARTINEZ MAS DUNIA,ESP
Elite Women - 70 Kg (EW-70kg),,BRONZE,BADIN ANDREA,FRA
Elite Women - 75 Kg (EW-75kg),SÁ. 7 FEB.,GOLD,BORGOHAIN LOVLINA,IND
Elite Women - 75 Kg (EW-75kg),,SILVER,SMITH MARY-KATE,ENG
Elite Women - 75 Kg (EW-75kg),,BRONZE,ECCLES ROSIE,WAL
Elite Women - 75 Kg (EW-75kg),,BRONZE,THOKCHOM SANAMACHA CHANU,IND
Elite Women - 80 Kg (EW-80kg),SÁ. 7 FEB.,GOLD,NAINA,IND
Elite Women - 80 Kg (EW-80kg),,SILVER,PISKUN RAISA,UKR
Elite Women - 80 Kg (EW-80kg),,BRONZE,SADYKOVA GUZAL,KAZ
Elite Women + 80 Kg (EW+80kg),SÁ. 7 FEB.,GOLD,SADYKOVA UMIDA,KAZ
Elite Women + 80 Kg (EW+80kg),,SILVER,SEIITKAHNKYZY PANAR,KAZ
Elite Women + 80 Kg (EW+80kg),,BRONZE,MANKIRAT KAUR,IND
Elite Women + 80 Kg (EW+80kg),,BRONZE,GULLEN ORTIZ TINDAYA LUCIA,ESP
