Weight Category,Rank,Boxer,Seed,Team Code
Elite Men - 50 Kg (EM-50kg),1,TASHKENBAY SANZHAR,,KAZ
Elite Men - 55 Kg (EM-55kg),1,SABYRKHAN MAKHMUD,,KAZ
Elite Men - 50 Kg (EM-50kg),2,MAGHRAOUI FRYHAH ISMAEL,,ESP
Elite Men - 55 Kg (EM-55kg),2,TROWBRIDGE ELLIS,,ENG
Elite Men - 50 Kg (EM-50kg),3,DIAZ LOPEZ CARLOS,,ESP
Elite Men - 55 Kg (EM-55kg),3,MANDENGBAM JADUMANI SINGH,,IND
Elite Men - 50 Kg (EM-50kg),3,ONGAROV NURZAT,,KAZ
Elite Men - 55 Kg (EM-55kg),3,TOMINES MAXIMUS,,CAN
Elite Men - 50 Kg (EM-50kg),5,SINGH RISHI,,IND
Elite Men - 55 Kg (EM-55kg),5,WANUKAGA ALVIN,,SWE
Elite Men - 50 Kg (EM-50kg),5,RUDYK MAKSYM,,UKR
Elite Men - 55 Kg (EM-55kg),5,BARTWAL PAWAN,,IND
Elite Men - 50 Kg (EM-50kg),5,ROCK ISAIAH,,CAN
Elite Men - 55 Kg (EM-55kg),5,PENG CHIA-FENG,,TPE
Elite Men - 55 Kg (EM-55kg),5,BORANBEK BEXULTAN,,KAZ
Elite Men - 55 Kg (EM-55kg),9,GAUCHER IZAYA,,FRA
Elite Men - 55 Kg (EM-55kg),9,ZYMENKO MAKSYM,,UKR
Elite Men - 60 Kg (EM-60kg),1,SACHIN,,IND
Elite Men - 65 Kg (EM-65kg),1,ALIIEV ELVIN,,UKR
Elite Men - 60 Kg (EM-60kg),2,AL AHMADIEH KEOMA-ALI,,CAN
Elite Men - 65 Kg (EM-65kg),2,OUNAI MOHAMED,,FRA
Elite Men - 60 Kg (EM-60kg),3,DRYDEN JACK,,ENG
Elite Men - 65 Kg (EM-65kg),3,IBARRECHE CONDE OIER,,ESP
Elite Men - 60 Kg (EM-60kg),3,MOHAMMED HUSSAM UDDIN,,IND
Elite Men - 65 Kg (EM-65kg),3,PIDNUCH KHUNATIP,,THA
Elite Men - 60 Kg (EM-60kg),5,ABDURAIMOV AIDER,,UKR
Elite Men - 65 Kg (EM-65kg),5,JAMWAL ABHINASH,,IND
Elite Men - 60 Kg (EM-60kg),5,TEMIRZHANOV SERIK,,KAZ
Elite Men - 65 Kg (EM-65kg),5,TURNER JOE,,ENG
Elite Men - 60 Kg (EM-60kg),5,MELKUMIAN GEORGES BENIK,,LUX
Elite Men - 65 Kg (EM-65kg),5,LABRIE GABRIEL ALY,,CAN
Elite Men - 60 Kg (EM-60kg),5,DAHLY ALI,,UKR
Elite Men - 65 Kg (EM-65kg),5,RAGA LEWAS JOAN MARCEL,,ESP
Elite Men - 60 Kg (EM-60kg),9,CHINEA COLLAZOS BRANDON ALEJANDRO,,ESP
Elite Men - 65 Kg (EM-65kg),9,TYMUR TSEBEN,,POL
Elite Men - 60 Kg (EM-60kg),9,AL CHABTUN MAHMOUD,,NED
Elite Men - 65 Kg (EM-65kg),9,GULIYEV RASUL,,UKR
Elite Men - 70 Kg (EM-70kg),1,SABYRKHAN TOREKHAN,,KAZ
Elite Men - 75 Kg (EM-75kg),1,AKASH,,IND
Elite Men - 70 Kg (EM-70kg),2,DEEPAK,,IND
Elite Men - 75 Kg (EM-75kg),2,KONSBEKOV AMAN,,KAZ
Elite Men - 70 Kg (EM-70kg),3,MURSAL NURBEK,,KAZ
Elite Men - 75 Kg (EM-75kg),3,ZAKHARIEIEV YURII,,UKR
Elite Men - 70 Kg (EM-70kg),5,MAYUOM KOUC,,DEN
Elite Men - 75 Kg (EM-75kg),5,SAEZ CAÑERO JOSE LUIS,,ESP
Elite Men - 70 Kg (EM-70kg),5,ROSALÉN PRIETO DAVID EDEÑEL,,ESP
Elite Men - 75 Kg (EM-75kg),5,EL QADMI HASSANA,,FRA
Elite Men - 70 Kg (EM-70kg),5,SANTORIELLO VINCENT,,CAN
Elite Men - 75 Kg (EM-75kg),5,SHAW-TULLIN KYLE,,ENG
Elite Men - 70 Kg (EM-70kg),5,MATIAKUBOV BOZORBOI,,UKR
Elite Men - 75 Kg (EM-75kg),5,SALAS MANUEL BENI,,BEL
Elite Men - 70 Kg (EM-70kg),9,MONTEIRO AILTON,,CPV
Elite Men - 75 Kg (EM-75kg),9,ZAKKHARCHENKO NIKITA,,UKR
Elite Men - 70 Kg (EM-70kg),9,AYITEVI HORNEL,,BEL
Elite Men - 75 Kg (EM-75kg),9,ZYGULA LUKASZ,,POL
Elite Men - 80 Kg (EM-80kg),1,ILLIUSHA PAVLO,,UKR
Elite Men - 85 Kg (EM-85kg),1,ORALBAY NURBEK,,KAZ
Elite Men - 80 Kg (EM-80kg),2,ANKUSH,,IND
Elite Men - 85 Kg (EM-85kg),2,PANAH ARYAN SAED,,NEU
Elite Men - 80 Kg (EM-80kg),3,COY BERNAL PABLO,,ESP
Elite Men - 85 Kg (EM-85kg),3,FRESNEDA RICARDO ADRIAN,,ESP
Elite Men - 80 Kg (EM-80kg),3,BEKTAS AZAMAT,,KAZ
Elite Men - 85 Kg (EM-85kg),3,LAKTIONOV MYKOLA,,UKR
Elite Men - 80 Kg (EM-80kg),5,JONGJOHO WEERAPON,,THA
Elite Men - 85 Kg (EM-85kg),5,ZHASAN DANYLO,,UKR
Elite Men - 80 Kg (EM-80kg),5,ZHAKPEKOV YERASSYL,,KAZ
Elite Men - 85 Kg (EM-85kg),5,RAZHBA MATVII,,UKR
Elite Men - 80 Kg (EM-80kg),5,BEN OTHMEN RAYEN,,BEL
Elite Men - 85 Kg (EM-85kg),5,JUGNOO,,IND
Elite Men - 80 Kg (EM-80kg),5,CARCAMO UMAR,,CAN
Elite Men - 85 Kg (EM-85kg),5,IBAÑEZ MATAIX RUBEN,,ESP
Elite Men - 80 Kg (EM-80kg),9,MALSAWMTLUANGA,,IND
Elite Men - 80 Kg (EM-80kg),9,MONTEIRO KEVIN,,CPV
Elite Men - 90 Kg (EM-90kg),1,REYES PLA ENMANUEL,,ESP
