Rank,Team,Men Gold,Men Silver,Men Bronze,Men Total,Women Gold,Women Silver,Women Bronze,Women Total,Total Gold,Total Silver,Total Bronze,Total Medals,Rank by Total
1,IND - INDIA,2,2,3,7,7,1,4,12,9,3,7,19,1
2,KAZ - KAZAKHSTAN,5,3,4,12,1,2,2,5,6,5,6,17,2
3,UKR - UKRAINE,2,0,5,7,0,3,2,5,2,3,7,12,3
4,ESP - SPAIN,1,1,4,6,0,2,2,4,1,3,6,10,4
5,ENG - ENGLAND,0,1,2,3,1,1,2,4,1,2,4,7,5
6,THA - THAILAND,0,0,1,1,1,0,2,3,1,0,3,4,6
7,CAN - CANADA,0,1,1,2,0,0,1,1,0,1,2,3,=7
7,FRA - FRANCE,0,1,0,1,0,0,2,2,0,1,2,3,=7
9,NED - NEDERLAND,0,0,0,0,0,1,1,2,0,1,1,2,9
10,NEU - NEUTRAL,0,1,0,1,0,0,0,0,0,1,0,1,=10
11,WAL - WALES,0,0,0,0,0,0,1,1,0,0,1,1,=10
