Rank,Team Code,Boxers,Wins Prelims,Wins Semifinals,Wins Finals,Lost,Bouts,Bouts per Boxer,Points,Points per Boxer,Gold,Silver,Bronze,Total Medals
1,IND,33,33,12,9,24,78,2.4,84,2.5,9,3,7,19
2,KAZ,32,22,11,6,26,65,2.0,62,1.9,6,5,6,17
3,UKR,33,16,4,2,31,53,1.6,30,0.9,2,3,7,12
4,ESP,33,11,4,1,32,48,1.5,22,0.7,1,3,6,10
5,ENG,10,13,3,1,9,26,2.6,22,2.2,1,2,4,7
6,THA,9,10,1,1,8,20,2.2,15,1.7,1,0,3,4
7,CAN,15,9,1,0,15,25,1.7,11,0.7,0,1,2,3
8,FRA,11,6,1,0,11,18,1.6,8,0.7,0,1,2,3
9,NED,6,4,1,0,6,11,1.8,6,1.0,0,1,1,2
10,NEU,1,1,1,0,1,3,3.0,3,3.0,0,1,0,1
11,BEL,5,2,0,0,5,7,1.4,2,0.4,0,0,0,0
11,SWE,3,2,0,0,3,5,1.7,2,0.7,0,0,0,0
11,TPE,3,2,0,0,3,5,1.7,2,0.7,0,0,0,0
14,WAL,1,1,0,0,1,2,2.0,1,1.0,0,0,1,1
15,CZE,1,1,0,0,1,2,2.0,1,1.0,0,0,0,0
15,DEN,3,1,0,0,3,4,1.3,1,0.3,0,0,0,0
15,LUX,1,1,0,0,1,2,2.0,1,1.0,0,0,0,0
18,CPV,5,0,0,0,5,5,1.0,0,0,0,0,0,0
18,EST,2,0,0,0,2,2,1.0,0,0,0,0,0,0
18,POL,3,0,0,0,3,3,1.0,0,0,0,0,0,0
18,SCO,2,0,0,0,2,2,1.0,0,0,0,0,0,0
18,SUI,2,0,0,0,2,2,1.0,0,0,0,0,0,0
